Day,Type,Problem_Name,Contest_Name,Problem_Link,Contest_Link,PDF_Link,Category,Difficulty
Day 8,Exercise,NYTRAVEL,fcb016,https://oj.vnoi.info/problem/fcb016_nytravel,,https://vnoi-admin.github.io/statements/FC/FCB016/nytravel.pdf,Graph,600
Day 8,Exercise,TREE,fcb005,https://oj.vnoi.info/problem/fcb005_tree,,https://vnoi-admin.github.io/statements/FC/FCB005/tree.pdf,Graph,600
Day 9,Exercise,FINDBRACSEQ,fcb052,https://oj.vnoi.info/problem/fcb052_findbracseq,,https://vnoi-admin.github.io/statements/FC/FCB052/findbracseq.pdf,Dynamic Programming,600
Day 10,Exercise,SUBGCD,fcb051,https://oj.vnoi.info/problem/fcb051_subgcd,,https://vnoi-admin.github.io/statements/FC/FCB051/subgcd.pdf,Math,600
Day 11,Exercise,IMPOSSIBOR,fcb050,https://oj.vnoi.info/problem/fcb050_impossibor,,https://vnoi-admin.github.io/statements/FC/FCB050/impossibor.pdf,Bit Manipulation,600
Day 16,Exercise,BBOX,fcb044,https://oj.vnoi.info/problem/fcb044_bbox,,https://vnoi-admin.github.io/statements/FC/FCB044/bbox.pdf,Bit Manipulation,600
Day 23,Exercise,BASE,fcb041,https://oj.vnoi.info/problem/fcb041_base,,https://vnoi-admin.github.io/statements/FC/FCB041/base.pdf,Math,600
Day 1,Exercise,MAGICWISH,fcb055,https://oj.vnoi.info/problem/fcb055_magicwish,,https://vnoi-admin.github.io/statements/FC/FCB055/magicwish.pdf,Greedy,650
Day 2,Exercise,SHADOW,fcb054,https://oj.vnoi.info/problem/fcb054_shadow,,https://vnoi-admin.github.io/statements/FC/FCB054/shadow.pdf,Geometry,650
Day 2,Exercise,DELIVERY,fcb053,https://oj.vnoi.info/problem/fcb053_delivery,,https://vnoi-admin.github.io/statements/FC/FCB053/delivery.pdf,Greedy,650
Day 5,Exercise,PERLIS,fcb022,https://oj.vnoi.info/problem/fcb022_perlis,,https://vnoi-admin.github.io/statements/FC/FCB022/perlis.pdf,Greedy,650
Day 12,Exercise,XORQ,fcb048,https://oj.vnoi.info/problem/fcb048_xorq,,https://vnoi-admin.github.io/statements/FC/FCB048/xorq.pdf,Data Structures,650
Day 13,Exercise,ABSOLUTE,fcb047,https://oj.vnoi.info/problem/fcb047_absolute,,https://vnoi-admin.github.io/statements/FC/FCB047/absolute.pdf,Game Theory,650
